episode,mean_reward,max_reward,min_reward,std_reward,mean_episode_length,collision_rate,success_rate,mean_travel_time_s,total_collisions,total_successes,steps_per_sec,episodes_per_sec,elapsed_sec,mean_train_loss,success_rate/left,collision_rate/left,success_rate/straight,collision_rate/straight,success_rate/right,collision_rate/right,success_rate/scenario_a,success_rate/scenario_b,success_rate/scenario_c,success_rate/scenario_d,success_rate/scenario_e,success_rate/scenario_f,success_rate/scenario_g,success_rate/scenario_h,success_rate/scenario_i
210,-16.054502487182617,22.39999771118164,-534.9500122070312,118.693603515625,257.0299987792969,0.05000000074505806,0.9800000190734863,25.774999618530273,7.0,208.0,75.03192901611328,0.36636683344841003,572.3781127929688,2.168449878692627,0.987500011920929,0.07500000298023224,0.9833333492279053,0.01666666753590107,1.0,0.0,1.0,0.949999988079071,1.0,1.0,1.0,1.0,0.949999988079071,1.0,1.0
220,-11.087002754211426,22.39999771118164,-534.9500122070312,106.80472564697266,260.5799865722656,0.03999999910593033,0.9900000095367432,26.099000930786133,7.0,218.0,74.83258819580078,0.3653935194015503,599.7459106445312,2.157700538635254,0.9882352948188782,0.07058823853731155,0.984375,0.015625,1.0,0.0,1.0,0.949999988079071,1.0,1.0,1.0,1.0,0.949999988079071,1.0,1.0
230,-11.484502792358398,22.39999771118164,-534.7999877929688,106.71330261230469,263.2300109863281,0.03999999910593033,0.9900000095367432,26.368999481201172,8.0,228.0,168.4257049560547,0.4111955463886261,624.0652465820312,2.188371181488037,0.9888888597488403,0.07777778059244156,0.9846153855323792,0.015384615398943424,1.0,0.0,1.0,0.949999988079071,1.0,1.0,1.0,1.0,0.949999988079071,1.0,1.0
240,-11.5805025100708,23.449996948242188,-534.7999877929688,106.69963836669922,263.8699951171875,0.03999999910593033,0.9900000095367432,26.433000564575195,8.0,238.0,76.34904479980469,0.37279805541038513,650.889404296875,2.1778244972229004,0.989130437374115,0.07608695328235626,0.9855072498321533,0.014492753893136978,1.0,0.0,1.0,0.949999988079071,1.0,1.0,1.0,1.0,0.949999988079071,1.0,1.0
250,-6.6010026931762695,23.449996948242188,-534.7999877929688,93.02011108398438,267.3399963378906,0.029999999329447746,1.0,26.733999252319336,8.0,248.0,76.0596923828125,0.37138521671295166,677.8156127929688,2.16691255569458,0.9895833134651184,0.0729166641831398,0.9863013625144958,0.013698630034923553,1.0,0.0,1.0,0.949999988079071,1.0,1.0,1.0,1.0,0.949999988079071,1.0,1.0
260,-0.9975029826164246,23.59999656677246,-534.7999877929688,76.4975357055664,266.6499938964844,0.019999999552965164,1.0,26.665000915527344,8.0,258.0,78.23255157470703,0.3819948732852936,703.9940185546875,2.157883405685425,0.9895833134651184,0.0729166641831398,0.9876543283462524,0.012345679104328156,1.0,0.0,1.0,0.949999988079071,1.0,1.0,1.0,1.0,0.949999988079071,1.0,1.0
270,-6.172002792358398,24.949996948242188,-534.7999877929688,93.05412292480469,264.4800109863281,0.029999999329447746,1.0,26.447999954223633,9.0,268.0,92.9525375366211,0.4538698196411133,726.0267333984375,2.1493234634399414,0.9900000095367432,0.07999999821186066,0.9882352948188782,0.0117647061124444,1.0,0.0,1.0,0.949999988079071,1.0,1.0,1.0,1.0,0.949999988079071,1.0,1.0
280,-5.3635029792785645,24.949996948242188,-534.7999877929688,92.91969299316406,259.0899963378906,0.029999999329447746,0.9900000095367432,26.06100082397461,10.0,277.0,81.3193359375,0.3970670700073242,751.21142578125,2.1982429027557373,0.9900000095367432,0.07000000029802322,0.9777777791023254,0.02222222276031971,1.0,0.0,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,0.949999988079071,1.0,1.0
290,-10.1405029296875,24.949996948242188,-534.7999877929688,106.67227935791016,254.27000427246094,0.03999999910593033,0.9800000190734863,25.648000717163086,11.0,286.0,159.25115966796875,0.38879677653312683,776.9318237304688,2.291883707046509,0.9900000095367432,0.07000000029802322,0.9677419066429138,0.032258063554763794,1.0,0.0,1.0,0.8500000238418579,1.0,1.0,1.0,1.0,0.949999988079071,1.0,1.0
300,-14.707502365112305,24.949996948242188,-534.7999877929688,118.6847915649414,248.0500030517578,0.05000000074505806,0.9800000190734863,24.95199966430664,12.0,296.0,91.80830383300781,0.44828274846076965,799.2391357421875,2.3330888748168945,0.9900000095367432,0.07000000029802322,0.969072163105011,0.04123711213469505,1.0,0.0,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,0.949999988079071,1.0,1.0
310,-13.99050235748291,24.949996948242188,-534.7999877929688,118.83574676513672,243.27000427246094,0.05000000074505806,0.9800000190734863,24.457000732421875,12.0,306.0,78.1605453491211,0.38164329528808594,825.441650390625,2.327040910720825,0.9900000095367432,0.07000000029802322,0.9693877696990967,0.040816325694322586,1.0,0.0,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,0.949999988079071,1.0,1.0
320,-13.42800235748291,24.949996948242188,-534.7999877929688,118.95097351074219,239.52000427246094,0.05000000074505806,0.9800000190734863,24.13599967956543,12.0,316.0,77.67768096923828,0.3792855739593506,851.8070068359375,2.315490961074829,0.9900000095367432,0.07000000029802322,0.9700000286102295,0.03999999910593033,1.0,0.0,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,0.949999988079071,1.0,1.0
